entrez,symbol,term_id,term_name,source
121536,AEBP2,CXXX,No diseases associated,PSYGENET
64782,AEN,CXXX,No diseases associated,PSYGENET
60312,AFAP1,CXXX,No diseases associated,PSYGENET
134265,AFAP1L1,CXXX,No diseases associated,PSYGENET
84632,AFAP1L2,CXXX,No diseases associated,PSYGENET
4301,AFDN,CXXX,No diseases associated,PSYGENET
4299,AFF1,CXXX,No diseases associated,PSYGENET
2334,AFF2,CXXX,No diseases associated,PSYGENET
3899,AFF3,CXXX,No diseases associated,PSYGENET
27125,AFF4,CXXX,No diseases associated,PSYGENET
10939,AFG3L2,CXXX,No diseases associated,PSYGENET
173,AFM,CXXX,No diseases associated,PSYGENET
125061,AFMID,CXXX,No diseases associated,PSYGENET
174,AFP,CXXX,No diseases associated,PSYGENET
54812,AFTPH,CXXX,No diseases associated,PSYGENET
116987,AGAP1,CXXX,No diseases associated,PSYGENET
116986,AGAP2,CXXX,No diseases associated,PSYGENET
116988,AGAP3,CXXX,No diseases associated,PSYGENET
119016,AGAP4,CXXX,No diseases associated,PSYGENET
729092,AGAP5,CXXX,No diseases associated,PSYGENET
414189,AGAP6,CXXX,No diseases associated,PSYGENET
642517,AGAP9,CXXX,No diseases associated,PSYGENET
123624,AGBL1,CXXX,No diseases associated,PSYGENET
79841,AGBL2,CXXX,No diseases associated,PSYGENET
340351,AGBL3,CXXX,No diseases associated,PSYGENET
84871,AGBL4,CXXX,No diseases associated,PSYGENET
60509,AGBL5,CXXX,No diseases associated,PSYGENET
3267,AGFG1,CXXX,No diseases associated,PSYGENET
3268,AGFG2,CXXX,No diseases associated,PSYGENET
55109,AGGF1,CXXX,No diseases associated,PSYGENET
55750,AGK,CXXX,No diseases associated,PSYGENET
178,AGL,CXXX,No diseases associated,PSYGENET
79814,AGMAT,CXXX,No diseases associated,PSYGENET
392636,AGMO,CXXX,No diseases associated,PSYGENET
192669,AGO3,CXXX,No diseases associated,PSYGENET
192670,AGO4,CXXX,No diseases associated,PSYGENET
10554,AGPAT1,CXXX,No diseases associated,PSYGENET
10555,AGPAT2,CXXX,No diseases associated,PSYGENET
56894,AGPAT3,CXXX,No diseases associated,PSYGENET
56895,AGPAT4,CXXX,No diseases associated,PSYGENET
55326,AGPAT5,CXXX,No diseases associated,PSYGENET
8540,AGPS,CXXX,No diseases associated,PSYGENET
10551,AGR2,CXXX,No diseases associated,PSYGENET
155465,AGR3,CXXX,No diseases associated,PSYGENET
375790,AGRN,CXXX,No diseases associated,PSYGENET
181,AGRP,CXXX,No diseases associated,PSYGENET
23287,AGTPBP1,CXXX,No diseases associated,PSYGENET
185,AGTR1,CXXX,No diseases associated,PSYGENET
186,AGTR2,CXXX,No diseases associated,PSYGENET
57085,AGTRAP,CXXX,No diseases associated,PSYGENET
189,AGXT,CXXX,No diseases associated,PSYGENET
64902,AGXT2,CXXX,No diseases associated,PSYGENET
25909,AHCTF1,CXXX,No diseases associated,PSYGENET
191,AHCY,CXXX,No diseases associated,PSYGENET
10768,AHCYL1,CXXX,No diseases associated,PSYGENET
23382,AHCYL2,CXXX,No diseases associated,PSYGENET
27245,AHDC1,CXXX,No diseases associated,PSYGENET
54806,AHI1,CXXX,No diseases associated,PSYGENET
79026,AHNAK,CXXX,No diseases associated,PSYGENET
113146,AHNAK2,CXXX,No diseases associated,PSYGENET
196,AHR,CXXX,No diseases associated,PSYGENET
57491,AHRR,CXXX,No diseases associated,PSYGENET
10598,AHSA1,CXXX,No diseases associated,PSYGENET
197,AHSG,CXXX,No diseases associated,PSYGENET
51327,AHSP,CXXX,No diseases associated,PSYGENET
57379,AICDA,CXXX,No diseases associated,PSYGENET
64853,AIDA,CXXX,No diseases associated,PSYGENET
199,AIF1,CXXX,No diseases associated,PSYGENET
83543,AIF1L,CXXX,No diseases associated,PSYGENET
9131,AIFM1,CXXX,No diseases associated,PSYGENET
84883,AIFM2,CXXX,No diseases associated,PSYGENET
150209,AIFM3,CXXX,No diseases associated,PSYGENET
51390,AIG1,CXXX,No diseases associated,PSYGENET
9447,AIM2,CXXX,No diseases associated,PSYGENET
9255,AIMP1,CXXX,No diseases associated,PSYGENET
7965,AIMP2,CXXX,No diseases associated,PSYGENET
9049,AIP,CXXX,No diseases associated,PSYGENET
23746,AIPL1,CXXX,No diseases associated,PSYGENET
326,AIRE,CXXX,No diseases associated,PSYGENET
55966,AJAP1,CXXX,No diseases associated,PSYGENET
389813,AJM1,CXXX,No diseases associated,PSYGENET
84962,AJUBA,CXXX,No diseases associated,PSYGENET
203,AK1,CXXX,No diseases associated,PSYGENET
204,AK2,CXXX,No diseases associated,PSYGENET
50808,AK3,CXXX,No diseases associated,PSYGENET
205,AK4,CXXX,No diseases associated,PSYGENET
26289,AK5,CXXX,No diseases associated,PSYGENET
102157402,AK6,CXXX,No diseases associated,PSYGENET
122481,AK7,CXXX,No diseases associated,PSYGENET
