entrez,symbol,term_id,term_name,source
2033,EP300,C0678222,Breast Carcinoma,CGI
2033,EP300,C0858252,Breast adenocarcinoma,CGI
2033,EP300,C1319315,Adenocarcinoma of large intestine,CGI
2033,EP300,C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,CGI
2048,EPHB2,C0007112,Adenocarcinoma of prostate,CGI
2064,ERBB2,C0005426,Biliary Tract Neoplasm,CGI
2064,ERBB2,C0006142,Malignant neoplasm of breast,CGI
2064,ERBB2,C0007131,Non-Small Cell Lung Carcinoma,CGI
2064,ERBB2,C0024623,Malignant neoplasm of stomach,CGI
2064,ERBB2,C0029925,Ovarian Carcinoma,CGI
2064,ERBB2,C0152013,Adenocarcinoma of lung (disorder),CGI
2064,ERBB2,C0153943,Benign neoplasm of stomach,CGI
2064,ERBB2,C0154060,Carcinoma in situ of stomach,CGI
2064,ERBB2,C0278996,Malignant Head and Neck Neoplasm,CGI
2064,ERBB2,C0496905,Neoplasm of uncertain or unknown behavior of stomach,CGI
2064,ERBB2,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
2064,ERBB2,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
2064,ERBB2,C0678222,Breast Carcinoma,CGI
2064,ERBB2,C0699791,Stomach Carcinoma,CGI
2064,ERBB2,C0858252,Breast adenocarcinoma,CGI
2064,ERBB2,C0919267,ovarian neoplasm,CGI
2064,ERBB2,C1140680,Malignant neoplasm of ovary,CGI
2064,ERBB2,C1319315,Adenocarcinoma of large intestine,CGI
2064,ERBB2,C3887461,Head and Neck Carcinoma,CGI
2065,ERBB3,C0005684,Malignant neoplasm of urinary bladder,CGI
2065,ERBB3,C0005695,Bladder Neoplasm,CGI
2065,ERBB3,C0007114,Malignant neoplasm of skin,CGI
2065,ERBB3,C0024623,Malignant neoplasm of stomach,CGI
2065,ERBB3,C0153943,Benign neoplasm of stomach,CGI
2065,ERBB3,C0154017,Benign neoplasm of bladder,CGI
2065,ERBB3,C0154060,Carcinoma in situ of stomach,CGI
2065,ERBB3,C0154091,Carcinoma in situ of bladder,CGI
2065,ERBB3,C0278701,Gastric Adenocarcinoma,CGI
2065,ERBB3,C0278996,Malignant Head and Neck Neoplasm,CGI
2065,ERBB3,C0496905,Neoplasm of uncertain or unknown behavior of stomach,CGI
2065,ERBB3,C0496930,Neoplasm of uncertain or unknown behavior of bladder,CGI
2065,ERBB3,C0699790,Colon Carcinoma,CGI
2065,ERBB3,C0699791,Stomach Carcinoma,CGI
2065,ERBB3,C0699885,Carcinoma of bladder,CGI
2065,ERBB3,C3887461,Head and Neck Carcinoma,CGI
2066,ERBB4,C0006142,Malignant neoplasm of breast,CGI
2066,ERBB4,C0025202,melanoma,CGI
2066,ERBB4,C0151779,Cutaneous Melanoma,CGI
2066,ERBB4,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
2066,ERBB4,C0678222,Breast Carcinoma,CGI
2066,ERBB4,C0858252,Breast adenocarcinoma,CGI
2067,ERCC1,C0242379,Malignant neoplasm of lung,CGI
2067,ERCC1,C0684249,Carcinoma of lung,CGI
2068,ERCC2,C0005684,Malignant neoplasm of urinary bladder,CGI
2068,ERCC2,C0005695,Bladder Neoplasm,CGI
2068,ERCC2,C0007117,Basal cell carcinoma,CGI
2068,ERCC2,C0007137,Squamous cell carcinoma,CGI
2068,ERCC2,C0025202,melanoma,CGI
2068,ERCC2,C0151779,Cutaneous Melanoma,CGI
2068,ERCC2,C0154017,Benign neoplasm of bladder,CGI
2068,ERCC2,C0154091,Carcinoma in situ of bladder,CGI
2068,ERCC2,C0496930,Neoplasm of uncertain or unknown behavior of bladder,CGI
2068,ERCC2,C0699885,Carcinoma of bladder,CGI
2071,ERCC3,C0007117,Basal cell carcinoma,CGI
2071,ERCC3,C0007137,Squamous cell carcinoma,CGI
2071,ERCC3,C0025202,melanoma,CGI
2071,ERCC3,C0151779,Cutaneous Melanoma,CGI
2072,ERCC4,C0007117,Basal cell carcinoma,CGI
2072,ERCC4,C0007137,Squamous cell carcinoma,CGI
2072,ERCC4,C0025202,melanoma,CGI
2072,ERCC4,C0029925,Ovarian Carcinoma,CGI
2072,ERCC4,C0151779,Cutaneous Melanoma,CGI
2072,ERCC4,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
2072,ERCC4,C0919267,ovarian neoplasm,CGI
2072,ERCC4,C1140680,Malignant neoplasm of ovary,CGI
2073,ERCC5,C0007117,Basal cell carcinoma,CGI
2073,ERCC5,C0007137,Squamous cell carcinoma,CGI
2073,ERCC5,C0025202,melanoma,CGI
2073,ERCC5,C0151779,Cutaneous Melanoma,CGI
