entrez,symbol,term_id,term_name,source
3030,HADHA,C3711645,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,CLINGEN
3032,HADHB,C1969443,Trifunctional Protein Deficiency With Myopathy And Neuropathy,CLINGEN
3033,HADH,C1291230,3-Hydroxyacyl-CoA Dehydrogenase Deficiency,CLINGEN
3081,HGD,C0002066,Alkaptonuria,CLINGEN
3081,HGD,C2931645,"Ochronosis, hereditary",CLINGEN
3082,HGF,C3711374,Nonsyndromic Deafness,CLINGEN
3155,HMGCL,C0268601,HMG CoA lyase deficiency,CLINGEN
3155,HMGCL,C1533587,Hydroxymethylglutaric aciduria,CLINGEN
3158,HMGCS2,C2751532,3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,CLINGEN
3172,HNF4A,C3888631,Monogenic diabetes,CLINGEN
3242,HPD,C0268623,"Tyrosinemia, Type III",CLINGEN
3251,HPRT1,C0023374,Lesch-Nyhan Syndrome,CLINGEN
3257,HPS1,C2931875,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,CLINGEN
3265,HRAS,C0028326,Noonan Syndrome,CLINGEN
3265,HRAS,C0175704,LEOPARD Syndrome,CLINGEN
3265,HRAS,C0587248,Costello syndrome (disorder),CLINGEN
3265,HRAS,C1275081,Cardio-facio-cutaneous syndrome,CLINGEN
3265,HRAS,C1843181,Noonan syndrome-like disorder with loose anagen hair,CLINGEN
3265,HRAS,C3501846,Noonan-Like Syndrome With Loose Anagen Hair,CLINGEN
3295,HSD17B4,C0685838,Gonadal dysgenesis XX type deafness,CLINGEN
3371,TNC,C3711374,Nonsyndromic Deafness,CLINGEN
3423,IDS,C0026705,Mucopolysaccharidosis II,CLINGEN
3674,ITGA2B,C0040015,Thrombasthenia,CLINGEN
3690,ITGB3,C0040015,Thrombasthenia,CLINGEN
3702,ITK,C3552634,LYMPHOPROLIFERATIVE SYNDROME 1,CLINGEN
3712,IVD,C0268575,Isovaleryl-CoA dehydrogenase deficiency,CLINGEN
3735,KARS1,C3711374,Nonsyndromic Deafness,CLINGEN
3752,KCND3,C0428908,Sinus Node Dysfunction (disorder),CLINGEN
3752,KCND3,C1142166,Brugada Syndrome (disorder),CLINGEN
3752,KCND3,C2748542,"CARDIAC CONDUCTION DEFECT, NONSPECIFIC (disorder)",CLINGEN
3752,KCND3,C4551804,Brugada Syndrome 1,CLINGEN
3753,KCNE1,C2676723,JERVELL AND LANGE-NIELSEN SYNDROME 2 (disorder),CLINGEN
3757,KCNH2,C1142166,Brugada Syndrome (disorder),CLINGEN
3764,KCNJ8,C0428908,Sinus Node Dysfunction (disorder),CLINGEN
3764,KCNJ8,C1142166,Brugada Syndrome (disorder),CLINGEN
3764,KCNJ8,C2748542,"CARDIAC CONDUCTION DEFECT, NONSPECIFIC (disorder)",CLINGEN
3764,KCNJ8,C4551804,Brugada Syndrome 1,CLINGEN
3784,KCNQ1,C0007194,Hypertrophic Cardiomyopathy,CLINGEN
3784,KCNQ1,C0022387,Jervell-Lange Nielsen Syndrome,CLINGEN
3815,KIT,C3179349,Gastrointestinal Stromal Sarcoma,CLINGEN
3845,KRAS,C0028326,Noonan Syndrome,CLINGEN
3845,KRAS,C0175704,LEOPARD Syndrome,CLINGEN
3845,KRAS,C0587248,Costello syndrome (disorder),CLINGEN
3845,KRAS,C1275081,Cardio-facio-cutaneous syndrome,CLINGEN
3845,KRAS,C1843181,Noonan syndrome-like disorder with loose anagen hair,CLINGEN
3845,KRAS,C3501846,Noonan-Like Syndrome With Loose Anagen Hair,CLINGEN
3897,L1CAM,C0795953,MASA SYNDROME (disorder),CLINGEN
3912,LAMB1,C3554657,LISSENCEPHALY 5,CLINGEN
3920,LAMP2,C0878677,Glycogen Storage Disease Type IIb,CLINGEN
3930,LBR,C4747922,PELGER-HUET ANOMALY WITH MILD SKELETAL ANOMALIES,CLINGEN
3998,LMAN1,C4551981,Familial Multiple Coagulation Factor Deficiency I,CLINGEN
4015,LOX,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
4043,LRPAP1,C3809482,"MYOPIA 23, AUTOSOMAL RECESSIVE",CLINGEN
4072,EPCAM,C0346153,"Breast Cancer, Familial",CLINGEN
4072,EPCAM,C2750471,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8",CLINGEN
4087,SMAD2,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
4088,SMAD3,C3151087,LOEYS-DIETZ SYNDROME 3,CLINGEN
